game_id,review_text,rating,helpful,funny,timestamp,playtime,source,cleaned_text,processed_tokens,processed_text,sentiment,predicted_sentiment,sentiment_confidence
1086940,wow,1,0,0,1760359876,1195,steam,wow,['wow'],wow,positive,positive,0.34
1086940,Holy sh*t.,1,0,0,1760359680,16176,steam,holy sht.,"['holy', 'sht']",holy sht,positive,positive,0.34
1086940,nice,1,0,0,1760357895,5001,steam,nice,['nice'],nice,positive,positive,0.34
1086940,One of the best RPG game,1,1,0,1760357530,7019,steam,one of the best rpg game,"['one', 'best', 'rpg']",one best rpg,positive,positive,0.34
1086940,super!,1,0,0,1760356700,29625,steam,super!,['super'],super,positive,positive,0.34
1086940,"When I finished this game I felt a deep nostalgic sense, mourning and sadness. I look at my party one last time as they rose their cups celebrating and realized how much of an adventure it was. I'm old now and few games drive me in to that old feeling of adventure and grandiosity.
Very few games drag you to their calling to be the saviour of their land or the bane of it's existence. At the very end I realized what a big adventure it was, how much fun I had and how toned down I was to see my friends goodbye and part ways. If you really want an adventure, if you really want to be the hero that manages to save the day against all odds even when you think it's not possible, Baldurs Gate 3 is one of the very few games that does it.
At the very end your heroes rise their fists and revel in the moment, and very few games will have you feel that tiny little cutscenes feel so real and near your heart.",1,0,0,1760352680,6455,steam,when i finished this game i felt a deep nostalgic sense mourning and sadness. i look at my party one last time as they rose their cups celebrating and realized how much of an adventure it was. im old now and few games drive me in to that old feeling of adventure and grandiosity. very few games drag you to their calling to be the saviour of their land or the bane of its existence. at the very end i realized what a big adventure it was how much fun i had and how toned down i was to see my friends goodbye and part ways. if you really want an adventure if you really want to be the hero that manages to save the day against all odds even when you think its not possible baldurs gate 3 is one of the very few games that does it. at the very end your heroes rise their fists and revel in the moment and very few games will have you feel that tiny little cutscenes feel so real and near your heart.,"['finished', 'felt', 'deep', 'nostalgic', 'sense', 'mourning', 'sadness', 'look', 'party', 'one', 'last', 'time', 'rose', 'cup', 'celebrating', 'realized', 'much', 'adventure', 'old', 'drive', 'old', 'feeling', 'adventure', 'grandiosity', 'drag', 'calling', 'saviour', 'land', 'bane', 'existence', 'end', 'realized', 'big', 'adventure', 'much', 'fun', 'toned', 'see', 'friend', 'goodbye', 'part', 'way', 'really', 'want', 'adventure', 'really', 'want', 'hero', 'manages', 'save', 'day', 'odds', 'even', 'think', 'possible', 'baldurs', 'gate', 'one', 'end', 'hero', 'rise', 'fist', 'revel', 'moment', 'feel', 'tiny', 'little', 'cutscenes', 'feel', 'real', 'near', 'heart']",finished felt deep nostalgic sense mourning sadness look party one last time rose cup celebrating realized much adventure old drive old feeling adventure grandiosity drag calling saviour land bane existence end realized big adventure much fun toned see friend goodbye part way really want adventure really want hero manages save day odds even think possible baldurs gate one end hero rise fist revel moment feel tiny little cutscenes feel real near heart,positive,positive,0.34
1086940,"Stays true to the original, adds so much depth and increases playability. Highly recommend.",1,0,0,1760351490,2854,steam,stays true to the original adds so much depth and increases playability. highly recommend.,"['stay', 'true', 'original', 'add', 'much', 'depth', 'increase', 'playability', 'highly', 'recommend']",stay true original add much depth increase playability highly recommend,positive,positive,0.34
1086940,Best game ever,1,0,0,1760348372,4581,steam,best game ever,"['best', 'ever']",best ever,positive,positive,0.34
1086940,Goat,1,0,0,1760345137,10444,steam,goat,['goat'],goat,positive,positive,0.34
1086940,me when the harpy,1,0,0,1760341617,753,steam,me when the harpy,['harpy'],harpy,positive,positive,0.34
